"screen_name"	"text"	"favorite_count"	"retweet_followers_count"	"retweet_count"	"created_at"	"termo"	"url"
"antiidiotautil"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/NgsOHqTWs6"	0	28100	21	2020-02-26 11:33:49	"@marciofrancasp"	"https://twitter.com/antiidiotautil/status/1232629838219038722"
"MarcosMazzarol1"	"@Pattyy_Ribeiro @jdoriajr @marciofrancasp Joao Doria nao passa de um grande mentiroso safado.. descarado enganador"	0	NA	0	2020-02-26 11:32:00	"@marciofrancasp"	"https://twitter.com/MarcosMazzarol1/status/1232629382394662914"
"N______N__nanau"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/NgsOHqTWs6"	0	28100	21	2020-02-26 11:29:07	"@marciofrancasp"	"https://twitter.com/N______N__nanau/status/1232628655169339392"
"MarciaB16982788"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/NgsOHqTWs6"	0	28100	21	2020-02-26 10:24:38	"@marciofrancasp"	"https://twitter.com/MarciaB16982788/status/1232612429986750465"
"lewn51"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/NgsOHqTWs6"	0	28100	21	2020-02-26 10:01:11	"@marciofrancasp"	"https://twitter.com/lewn51/status/1232606525849341953"
"lordbochecha1"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/NgsOHqTWs6"	0	28100	21	2020-02-26 09:21:02	"@marciofrancasp"	"https://twitter.com/lordbochecha1/status/1232596423054700544"
"RenatoNanati"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/NgsOHqTWs6"	0	28100	21	2020-02-26 09:10:09	"@marciofrancasp"	"https://twitter.com/RenatoNanati/status/1232593683721138177"
"ElcimarPaula"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/NgsOHqTWs6"	0	28100	21	2020-02-26 09:08:18	"@marciofrancasp"	"https://twitter.com/ElcimarPaula/status/1232593218312835073"
"Pattyy_Ribeiro"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/NgsOHqTWs6"	53	NA	21	2020-02-26 08:58:35	"@marciofrancasp"	"https://twitter.com/Pattyy_Ribeiro/status/1232590774165999616"
"eueapatty"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/H2hIeRIZZm"	0	NA	0	2020-02-26 08:31:17	"@marciofrancasp"	"https://twitter.com/eueapatty/status/1232583902348431360"
"luke_contrera"	"Aos bolsoseguidores que estão putinhos com o Doria (@jdoriajr), só gostaria de dizer uma coisa: eu avisei q ele era um oportunista e n prestava! Há! 

Vem tranquilo Márcio França (@marciofrancasp)! hihihi"	0	NA	0	2020-02-26 06:40:43	"@marciofrancasp"	"https://twitter.com/luke_contrera/status/1232556076668727297"
"Rickaugusto87"	"Votei no Bolsonaro, porém, não votaria nunca mais. Mas o Dória é um traidor, safado. Bem que o @marciofrancasp avisou que esse negócio de Bolsodoria não ia durar muito tempo. #EuApoioBolsonaro"	0	NA	0	2020-02-26 04:35:24	"@marciofrancasp"	"https://twitter.com/Rickaugusto87/status/1232524542410678272"
"CFazolino"	"@jdoriajr Vai se lascar... votei em vc por conta do JB, antes tivesse votado no @marciofrancasp"	0	NA	0	2020-02-26 03:49:28	"@marciofrancasp"	"https://twitter.com/CFazolino/status/1232512982787280901"
"guiiimassari"	"@jdoriajr Lamentável você seu hipócrita !! Você tá queimado Doria, largou SP com esse lixo do @brunocovas iria perder para @marciofrancasp e se aliou a Bolsonaro para virar a disputa.
TRAIDOR ! SUJO!  VAGABUNDO !!!!!!"	0	NA	0	2020-02-26 03:17:15	"@marciofrancasp"	"https://twitter.com/guiiimassari/status/1232504874388131840"
"Johnnyalf7273"	"@marciofrancasp Sr. Márcio França, nenhuma palavra do João Lego Dória defendendo o governador da Bahia Rui Costa??? O Sr. é PTista???"	0	NA	0	2020-02-25 21:40:01	"@marciofrancasp"	"https://twitter.com/Johnnyalf7273/status/1232420008053084168"
"CristinaJouse"	"@marciofrancasp Olha isso, precisamos de ajuda.
A escola do meu filho foi Descredenciada, por motivos administrativos, é uma escola excelente, que atendem 155 crianças com autismo. As crianças estão sofrendo,tendo crises com saudades da escola 😭😭😭😭😭 https://t.co/NAsEGkmVdg"	0	NA	0	2020-02-25 20:48:02	"@marciofrancasp"	"https://twitter.com/CristinaJouse/status/1232406925310033920"
"CristinaJouse"	"@Vanessahome20 @marciofrancasp Meu tbm.
Temos que fazer de tudo para que ele NÃO GANHE A PRÓXIMA ELEIÇÃO."	0	NA	0	2020-02-25 20:34:31	"@marciofrancasp"	"https://twitter.com/CristinaJouse/status/1232403523909902336"
"CristinaJouse"	"@CassioPatria @marciofrancasp Pura verdade, ainda não me conformo de tirarem alguém como o Márcio França, para colocar esse lixo😠😠"	1	NA	0	2020-02-25 20:32:58	"@marciofrancasp"	"https://twitter.com/CristinaJouse/status/1232403134175154176"
"pereiracea"	"@o_antagonista @jdoriajr @jairbolsonaro Se não fosse @jairbolsonaro  @jdoriajr teria perdido de @marciofrancasp . Ingrato, cospe no prato que comeu."	0	NA	0	2020-02-25 16:10:16	"@marciofrancasp"	"https://twitter.com/pereiracea/status/1232337020950892550"
"Road_Punisher"	"@jdoriajr Um Estado com soldados onde o salário é igual do Ceará. Acorda São Paulo!!!! @marciofrancasp"	0	NA	0	2020-02-25 11:35:21	"@marciofrancasp"	"https://twitter.com/Road_Punisher/status/1232267838813097984"
"gilguedes1989"	"@majorolimpio Lamentável essa forma de tratar os servidores. Não me surpreende, mas aguardo um pedido de desculpas. Seria o mínimo! 😓"	0	25093	2	2020-02-23 00:01:18	"@marciofrancasp"	"https://twitter.com/gilguedes1989/status/1231368397855821827"
"gilguedes1989"	"@gcassianosp e a @martasuplicy_ será que vem candidata ? Temos o @marciofrancasp tb né"	0	NA	0	2020-02-24 19:32:14	"@marciofrancasp"	"https://twitter.com/gilguedes1989/status/1232025463033409536"
"rosalgouveia"	"@o_antagonista Tah, çey!!! @RomeuZema tbm sabe.

Alguns dos contratados de @jdoriajr para a TV estatal paulista, e mtos outros q pelos mesmos interesses tentam emplaca-lo como um grande administrador, sendo nítido q ele ñ passa de um falastrão midiatico, estão é promovendo @marciofrancasp/2022."	0	NA	0	2020-02-24 12:15:40	"@marciofrancasp"	"https://twitter.com/rosalgouveia/status/1231915595215581184"
"Marcilon12"	"@o_antagonista @jdoriajr o homem que não venceria @marciofrancasp sem se apoiar no nome do bolsonaro é  este mesmo que está reclamando? 
É o típico político tucano bajulador que só mostra cara no período eleitoral."	0	NA	0	2020-02-24 11:55:05	"@marciofrancasp"	"https://twitter.com/Marcilon12/status/1231910414763675649"
